,USDINR,NIFTY,INDIAVIX,GOLD,CRUDE,DXY
2018-09-27,72.7699966430664,10977.5498046875,16.920000076293945,1182.300048828125,72.12000274658203,95.0
2018-09-28,72.94999694824219,10930.4501953125,17.0,1191.5,73.25,95.19000244140625
2018-10-01,72.50499725341797,11008.2998046875,16.84000015258789,1187.0999755859375,75.30000305175781,95.30000305175781
2018-10-02,73.75499725341797,,,1202.4000244140625,75.2300033569336,95.51000213623047
2018-10-03,73.27999877929688,10858.25,18.1200008392334,1198.300048828125,76.41000366210938,95.76000213623047
2018-10-04,73.8499984741211,10599.25,18.920000076293945,1197.199951171875,74.33000183105469,95.75
2018-10-05,74.22000122070312,10316.4501953125,19.729999542236328,1201.199951171875,74.33999633789062,95.62000274658203
2018-10-08,73.76300048828125,10348.0498046875,20.149999618530273,1184.4000244140625,74.29000091552734,95.7699966430664
2018-10-09,73.88999938964844,10301.0498046875,19.760000228881836,1187.199951171875,74.95999908447266,95.68000030517578
2018-10-10,74.55000305175781,10460.099609375,17.90999984741211,1189.300048828125,73.16999816894531,95.51000213623047
2018-10-11,74.5999984741211,10234.650390625,20.549999237060547,1223.5,70.97000122070312,95.0199966430664
2018-10-12,74.16000366210938,10472.5,18.6299991607666,1218.0999755859375,71.33999633789062,95.22000122070312
2018-10-15,73.6760025024414,10512.5,18.889999389648438,1226.4000244140625,71.77999877929688,95.06999969482422
2018-10-16,74.08000183105469,10584.75,17.3700008392334,1227.300048828125,71.91999816894531,95.05000305175781
2018-10-17,73.45549774169922,10453.0498046875,17.979999542236328,1223.699951171875,69.75,95.58000183105469
2018-10-18,73.91999816894531,,,1226.5,68.6500015258789,95.9000015258789
2018-10-19,74.16000366210938,10303.5498046875,19.790000915527344,1225.300048828125,69.12000274658203,95.70999908447266
2018-10-22,73.46499633789062,10245.25,21.360000610351562,1221.199951171875,69.16999816894531,96.01000213623047
2018-10-23,73.8594970703125,10146.7998046875,19.040000915527344,1233.4000244140625,66.43000030517578,95.95999908447266
2018-10-24,73.22129821777344,10224.75,18.8799991607666,1227.800048828125,66.81999969482422,96.43000030517578
2018-10-25,73.22049713134766,10124.900390625,18.959999084472656,1229.0999755859375,67.33000183105469,96.68000030517578
2018-10-26,73.22019958496094,10030.0,19.229999542236328,1232.5,67.58999633789062,96.36000061035156
2018-10-29,73.125,10250.849609375,19.829999923706055,1224.5,67.04000091552734,96.58000183105469
2018-10-30,73.5905990600586,10198.400390625,20.5,1222.5999755859375,66.18000030517578,97.01000213623047
2018-10-31,73.6500015258789,10386.599609375,19.799999237060547,1212.300048828125,65.30999755859375,97.12999725341797
2018-11-01,74.06999969482422,10380.4501953125,19.190000534057617,1236.0,63.689998626708984,96.27999877929688
2018-11-02,73.30999755859375,10553.0,18.229999542236328,1230.9000244140625,63.13999938964844,96.54000091552734
2018-11-05,72.90499877929688,10524.0,19.479999542236328,1229.800048828125,63.099998474121094,96.3499984741211
2018-11-06,72.86000061035156,10530.0,18.510000228881836,1223.800048828125,62.209999084472656,96.31999969482422
2018-11-07,73.2300033569336,10598.400390625,17.719999313354492,1226.199951171875,61.66999816894531,96.0
2018-11-08,72.37999725341797,,,1222.9000244140625,60.66999816894531,96.63999938964844
2018-11-09,72.9000015258789,10585.2001953125,17.770000457763672,1206.4000244140625,60.189998626708984,96.91000366210938
2018-11-12,72.47000122070312,10482.2001953125,19.3700008392334,1201.300048828125,59.93000030517578,97.54000091552734
2018-11-13,73.18000030517578,10582.5,18.700000762939453,1199.199951171875,55.689998626708984,97.30000305175781
2018-11-14,72.55000305175781,10576.2998046875,18.829999923706055,1207.9000244140625,56.25,96.80000305175781
2018-11-15,72.4000015258789,10616.7001953125,18.450000762939453,1212.800048828125,56.459999084472656,96.93000030517578
2018-11-16,71.8917007446289,10682.2001953125,18.350000381469727,1220.800048828125,56.459999084472656,96.47000122070312
2018-11-19,71.7750015258789,10763.400390625,19.260000228881836,1223.0999755859375,56.7599983215332,96.19000244140625
2018-11-20,71.69000244140625,10656.2001953125,19.329999923706055,1219.0,53.43000030517578,96.80999755859375
2018-11-21,71.41500091552734,10600.0498046875,19.559999465942383,1225.800048828125,54.630001068115234,96.70999908447266
2018-11-22,71.29499816894531,10526.75,19.15999984741211,,,
2018-11-23,70.83499908447266,,,1221.0,50.41999816894531,96.91999816894531
2018-11-26,70.66999816894531,10628.599609375,20.399999618530273,1220.199951171875,51.630001068115234,97.06999969482422
2018-11-27,70.80999755859375,10685.599609375,18.31999969482422,1211.199951171875,51.560001373291016,97.37000274658203
2018-11-28,70.87999725341797,10728.849609375,17.959999084472656,1221.4000244140625,50.290000915527344,96.79000091552734
2018-11-29,70.5999984741211,10858.7001953125,18.700000762939453,1224.0999755859375,51.45000076293945,96.77999877929688
2018-11-30,69.91999816894531,10876.75,19.15999984741211,1220.199951171875,50.93000030517578,97.2699966430664
2018-12-03,69.76000213623047,10883.75,18.219999313354492,1233.9000244140625,52.95000076293945,97.04000091552734
2018-12-04,70.48500061035156,10869.5,18.110000610351562,1241.0999755859375,53.25,96.97000122070312
2018-12-05,70.62999725341797,10782.900390625,18.389999389648438,,,
2018-12-06,70.87000274658203,10601.150390625,19.309999465942383,1238.0999755859375,51.4900016784668,96.80999755859375
2018-12-07,70.75,10693.7001953125,18.59000015258789,1246.800048828125,52.61000061035156,96.51000213623047
2018-12-10,71.36499786376953,10488.4501953125,20.440000534057617,1243.699951171875,51.0,97.22000122070312
2018-12-11,72.7300033569336,10549.150390625,17.950000762939453,1241.9000244140625,51.650001525878906,97.38999938964844
2018-12-12,72.62000274658203,10737.599609375,15.8100004196167,1244.4000244140625,51.150001525878906,97.04000091552734
2018-12-13,72.1500015258789,10791.5498046875,15.550000190734863,1242.699951171875,52.58000183105469,97.05999755859375
2018-12-14,71.5469970703125,10805.4501953125,15.15999984741211,1237.0,51.20000076293945,97.44000244140625
2018-12-17,71.91000366210938,10888.349609375,14.539999961853027,1247.4000244140625,49.880001068115234,97.0999984741211
2018-12-18,71.58999633789062,10908.7001953125,14.579999923706055,1249.199951171875,46.2400016784668,97.13999938964844
2018-12-19,70.56999969482422,10967.2998046875,14.65999984741211,1252.0999755859375,47.20000076293945,97.04000091552734
2018-12-20,70.68550109863281,10951.7001953125,14.329999923706055,1263.5999755859375,45.880001068115234,96.27999877929688
2018-12-21,70.30000305175781,10754.0,15.989999771118164,1253.800048828125,45.59000015258789,96.95999908447266
2018-12-24,70.13999938964844,10663.5,15.75,1267.5,42.529998779296875,96.55000305175781
2018-12-25,70.23999786376953,,,,,
2018-12-26,70.23999786376953,10729.849609375,15.920000076293945,1269.199951171875,46.220001220703125,97.05000305175781
2018-12-27,70.1500015258789,10779.7998046875,16.06999969482422,1277.300048828125,44.61000061035156,96.4800033569336
2018-12-28,69.98999786376953,10859.900390625,15.270000457763672,1279.9000244140625,45.33000183105469,96.38999938964844
2018-12-31,69.92250061035156,10862.5498046875,16.0,1278.300048828125,45.40999984741211,96.16999816894531
2019-01-01,69.70999908447266,,15.329999923706055,,,
2019-01-02,69.70999908447266,10792.5,16.389999389648438,1281.0,46.540000915527344,96.81999969482422
2019-01-03,69.95999908447266,10672.25,16.790000915527344,1291.800048828125,47.09000015258789,96.30999755859375
2019-01-04,70.30000305175781,10727.349609375,16.15999984741211,1282.699951171875,47.959999084472656,96.19000244140625
2019-01-07,69.5250015258789,10771.7998046875,16.299999237060547,1286.800048828125,48.52000045776367,95.70999908447266
2019-01-08,69.80999755859375,10802.150390625,15.699999809265137,1283.199951171875,49.779998779296875,95.9000015258789
2019-01-09,70.33000183105469,10855.150390625,15.270000457763672,1289.300048828125,52.36000061035156,95.22000122070312
2019-01-10,70.55049896240234,10821.599609375,15.350000381469727,1284.699951171875,52.59000015258789,95.54000091552734
2019-01-11,70.72000122070312,10794.9501953125,15.350000381469727,1287.0999755859375,51.59000015258789,95.66999816894531
2019-01-14,70.37000274658203,10737.599609375,16.15999984741211,1289.0999755859375,50.5099983215332,95.58999633789062
2019-01-15,71.08499908447266,10886.7998046875,15.579999923706055,1286.199951171875,52.11000061035156,95.97000122070312
2019-01-16,71.09249877929688,10890.2998046875,16.079999923706055,1291.5999755859375,52.310001373291016,96.05999755859375
2019-01-17,71.36499786376953,10905.2001953125,16.239999771118164,1291.0,52.06999969482422,96.06999969482422
2019-01-18,71.03019714355469,10906.9501953125,16.6200008392334,1281.300048828125,53.79999923706055,96.33999633789062
2019-01-21,71.2300033569336,10961.849609375,18.149999618530273,,,
2019-01-22,71.5,10922.75,17.989999771118164,1282.5,52.56999969482422,96.30000305175781
2019-01-23,71.2302017211914,10831.5,18.09000015258789,1283.0999755859375,52.619998931884766,96.12000274658203
2019-01-24,71.15730285644531,10849.7998046875,17.43000030517578,1279.0999755859375,53.130001068115234,96.5999984741211
2019-01-25,70.98999786376953,10780.5498046875,17.690000534057617,1297.4000244140625,53.689998626708984,95.79000091552734
2019-01-28,70.9749984741211,10661.5498046875,18.899999618530273,1302.4000244140625,51.9900016784668,95.75
2019-01-29,71.09010314941406,10652.2001953125,18.43000030517578,1308.199951171875,53.310001373291016,95.81999969482422
2019-01-30,71.62000274658203,10651.7998046875,17.850000381469727,1309.9000244140625,54.22999954223633,95.33999633789062
